path,file_name,backup_group,size_bytes,timestamp,modification_timestamp,apparent_creation_timestamp,backup_family,database_type,associated_operation,subsystem,object_type,classification,retention_reason,suggested_retention_until,notes
backups/fundamentals_v4_phase13c_20260911T164256Z/osakedata.before_phase13c.db,osakedata.before_phase13c.db,fundamentals_v4_phase13c_20260911T164256Z,1970778112,2026-09-11T16:43:06.852722Z,2026-09-11T16:43:06.852722Z,20260911T164256Z,Phase 13C multi-database transition,osakedata,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4/backup_manifest.json,backup_manifest.json,fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4,7229,2026-09-12T16:48:26.768062Z,2026-09-12T16:48:26.768062Z,,Phase 13E SNDK production onboarding,metadata/configuration,SNDK onboarding,historical Fundamentals phase,evidence manifest,EVIDENCE_OR_METADATA,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Manifest/sidecar follows its retained backup set.
backups/fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4/fundamentals_analysis.db,fundamentals_analysis.db,fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4,1534058496,2026-09-12T16:48:22.989915Z,2026-09-12T16:48:22.989915Z,,Phase 13E SNDK production onboarding,fundamentals_analysis,SNDK onboarding,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4/fundamentals_provider.db,fundamentals_provider.db,fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4,922521600,2026-09-12T16:48:17.822425Z,2026-09-12T16:48:17.822425Z,,Phase 13E SNDK production onboarding,fundamentals_provider,SNDK onboarding,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4/fundamentals_v4.db,fundamentals_v4.db,fundamentals_v4_phase13e_sndk_onboarding/20260912T_PHASE13E_SNDK_PRODUCTION_ONBOARDING_APPLY_R4,637911040,2026-09-12T16:48:19.915510Z,2026-09-12T16:48:19.915510Z,,Phase 13E SNDK production onboarding,fundamentals_v4 canonical,SNDK onboarding,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION/backup_manifest.json,backup_manifest.json,fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION,14925,2026-09-14T17:10:24.908583Z,2026-09-14T17:10:24.908583Z,,Phase 13F structural production activation,metadata/configuration,structural production activation,historical Fundamentals phase,evidence manifest,EVIDENCE_OR_METADATA,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Manifest/sidecar follows its retained backup set.
backups/fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION/fundamentals_analysis.db,fundamentals_analysis.db,fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION,1557794816,2026-09-14T17:09:43.522277Z,2026-09-14T17:09:43.522277Z,,Phase 13F structural production activation,fundamentals_analysis,structural production activation,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION/fundamentals_provider.db,fundamentals_provider.db,fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION,922853376,2026-09-14T17:09:22.934319Z,2026-09-14T17:09:22.934319Z,,Phase 13F structural production activation,fundamentals_provider,structural production activation,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION/fundamentals_v4.db,fundamentals_v4.db,fundamentals_v4_phase13f4_13_structural_production/20260914T_PHASE13F4_13_DURABLE_PRODUCTION_ACTIVATION,639561728,2026-09-14T17:09:30.638304Z,2026-09-14T17:09:30.638304Z,,Phase 13F structural production activation,fundamentals_v4 canonical,structural production activation,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production/analysis.fundamentals_analysis.db,analysis.fundamentals_analysis.db,fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production,1579909120,2026-09-15T16:03:22.724616Z,2026-09-15T16:03:22.724616Z,20260915T155830Z,Phase 13G batch Add Tickers production,fundamentals_analysis,Add Tickers production,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production/backup_manifest.json,backup_manifest.json,fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production,16056,2026-09-15T16:04:03.809286Z,2026-09-15T16:04:03.809286Z,20260915T155830Z,Phase 13G batch Add Tickers production,metadata/configuration,Add Tickers production,historical Fundamentals phase,evidence manifest,EVIDENCE_OR_METADATA,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Manifest/sidecar follows its retained backup set.
backups/fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production/canonical.fundamentals_v4.db,canonical.fundamentals_v4.db,fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production,642715648,2026-09-15T16:03:10.220640Z,2026-09-15T16:03:10.220640Z,20260915T155830Z,Phase 13G batch Add Tickers production,fundamentals_v4 canonical,Add Tickers production,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production/provider.fundamentals_provider.db,provider.fundamentals_provider.db,fundamentals_v4_phase13g2_4_batch_add_tickers/20260915T155830Z_add_tickers_91f5674ef226_production,924807168,2026-09-15T16:03:03.148653Z,2026-09-15T16:03:03.148653Z,20260915T155830Z,Phase 13G batch Add Tickers production,fundamentals_provider,Add Tickers production,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/manual_enrichment_20260527T114407Z/analysis.db.before_enrichment,analysis.db.before_enrichment,manual_enrichment_20260527T114407Z,2958508032,2026-05-27T11:44:10.121612Z,2026-05-27T11:44:10.121612Z,20260527T114407Z,Manual enrichment safety copy,analysis/taxonomy,enrichment change,non-Fundamentals or mixed; owner unconfirmed,full SQLite database copy,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
backups/manual_enrichment_20260527T114407Z/ecosystem_dashboard.db.before_enrichment,ecosystem_dashboard.db.before_enrichment,manual_enrichment_20260527T114407Z,901120,2026-05-27T11:44:10.121612Z,2026-05-27T11:44:10.121612Z,20260527T114407Z,Manual enrichment safety copy,ecosystem_dashboard,enrichment change,non-Fundamentals or mixed; owner unconfirmed,full SQLite database copy,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
backups/scheduler_config_reports_reference_20260529T150609Z/scheduler_config.json.before_reports_reference,scheduler_config.json.before_reports_reference,scheduler_config_reports_reference_20260529T150609Z,624,2026-05-29T15:06:09.437103Z,2026-05-29T15:06:09.437103Z,20260529T150609Z,Scheduler report-reference configuration,other,scheduler change,non-Fundamentals or mixed; owner unconfirmed,configuration/metadata,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
backups/scheduler_switch_20260529T110757Z/analysis.db.before_enrichment_switch,analysis.db.before_enrichment_switch,scheduler_switch_20260529T110757Z,3202682880,2026-05-29T11:08:07.596868Z,2026-05-29T11:08:07.596868Z,20260529T110757Z,Scheduler enrichment switch,analysis/taxonomy,scheduler change,non-Fundamentals or mixed; owner unconfirmed,full SQLite database copy,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
backups/scheduler_switch_20260529T110757Z/ecosystem_dashboard.db.before_enrichment_switch,ecosystem_dashboard.db.before_enrichment_switch,scheduler_switch_20260529T110757Z,1241088,2026-05-29T11:08:07.600868Z,2026-05-29T11:08:07.600868Z,20260529T110757Z,Scheduler enrichment switch,ecosystem_dashboard,scheduler change,non-Fundamentals or mixed; owner unconfirmed,full SQLite database copy,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
backups/scheduler_switch_20260529T110757Z/scheduler_config.json.before_enrichment_switch,scheduler_config.json.before_enrichment_switch,scheduler_switch_20260529T110757Z,373,2026-05-29T11:08:04.176878Z,2026-05-29T11:08:04.176878Z,20260529T110757Z,Scheduler enrichment switch,other,scheduler change,non-Fundamentals or mixed; owner unconfirmed,configuration/metadata,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
