ticker,date,pattern
SFM,2025-03-11,Bullish Engulfing
SFM,2025-03-19,Bullish Engulfing
SFM,2025-03-28,Hammer
SFM,2025-03-31,Bullish Engulfing
SFM,2025-04-25,Hammer
SFM,2025-05-05,Hammer
SFM,2025-05-15,Bullish Engulfing
SFM,2025-05-29,Hammer
SFM,2025-06-06,Hammer
SFM,2025-08-13,Hammer
SFM,2025-09-03,Hammer
SFM,2025-09-23,Hammer
^GSPC,2023-07-06,Hammer
^GSPC,2023-07-10,Bullish Engulfing
^GSPC,2023-08-25,Hammer
^GSPC,2023-09-11,Hammer
^GSPC,2023-09-28,Bullish Engulfing
^GSPC,2023-10-06,Bullish Engulfing
^GSPC,2023-10-11,Hammer
^GSPC,2023-11-16,Bullish Engulfing
^GSPC,2023-11-28,Bullish Engulfing
^GSPC,2023-12-04,Hammer
^GSPC,2024-01-11,Hammer
^GSPC,2024-01-25,Hammer
^GSPC,2024-02-06,Hammer
^GSPC,2024-02-08,Hammer
^GSPC,2024-02-13,Hammer
^GSPC,2024-02-27,Hammer
^GSPC,2024-02-29,Hammer
^GSPC,2024-03-19,Bullish Engulfing
^GSPC,2024-05-02,Hammer
^GSPC,2024-05-14,Bullish Engulfing
^GSPC,2024-05-28,Hammer
^GSPC,2024-06-03,Hammer
^GSPC,2024-06-06,Hammer
^GSPC,2024-06-13,Hammer
^GSPC,2024-06-14,Hammer
^GSPC,2024-08-14,Hammer
^GSPC,2024-09-10,Hammer
^GSPC,2024-09-20,Hammer
^GSPC,2024-09-24,Hammer
^GSPC,2024-09-30,Bullish Engulfing
^GSPC,2024-10-02,Hammer
^GSPC,2024-10-04,Hammer
^GSPC,2024-10-24,Hammer
^GSPC,2024-12-20,Bullish Engulfing
^GSPC,2025-01-14,Hammer
^GSPC,2025-02-06,Hammer
^GSPC,2025-02-18,Hammer
^GSPC,2025-03-12,Hammer
^GSPC,2025-04-09,Bullish Engulfing
^GSPC,2025-04-11,Bullish Engulfing
^GSPC,2025-04-29,Bullish Engulfing
^GSPC,2025-05-15,Bullish Engulfing
^GSPC,2025-07-16,Hammer
^GSPC,2025-08-20,Hammer
^GSPC,2025-08-26,Bullish Engulfing
^GSPC,2025-09-02,Hammer
^GSPC,2025-09-09,Hammer
^IXIC,2023-07-06,Hammer
^IXIC,2023-07-10,Bullish Engulfing
^IXIC,2023-08-07,Hammer
^IXIC,2023-09-11,Hammer
^IXIC,2023-09-14,Hammer
^IXIC,2023-09-19,Hammer
^IXIC,2023-09-28,Bullish Engulfing
^IXIC,2023-10-06,Bullish Engulfing
^IXIC,2023-11-30,Hammer
^IXIC,2023-12-01,Bullish Engulfing
^IXIC,2023-12-04,Hammer
^IXIC,2023-12-21,Hammer
^IXIC,2024-01-11,Hammer
^IXIC,2024-01-17,Hammer
^IXIC,2024-02-06,Hammer
^IXIC,2024-02-15,Hammer
^IXIC,2024-02-27,Hammer
^IXIC,2024-02-29,Hammer
^IXIC,2024-03-19,Bullish Engulfing
^IXIC,2024-03-27,Hammer
^IXIC,2024-04-09,Hammer
^IXIC,2024-04-29,Hammer
^IXIC,2024-05-09,Hammer
^IXIC,2024-05-13,Hammer
^IXIC,2024-05-17,Hammer
^IXIC,2024-05-22,Hammer
^IXIC,2024-05-28,Hammer
^IXIC,2024-05-31,Hammer
^IXIC,2024-06-13,Hammer
^IXIC,2024-08-14,Hammer
^IXIC,2024-08-30,Hammer
^IXIC,2024-09-09,Hammer
^IXIC,2024-09-20,Hammer
^IXIC,2024-09-24,Hammer
^IXIC,2024-10-16,Hammer
^IXIC,2024-10-24,Hammer
^IXIC,2024-11-20,Hammer
^IXIC,2024-11-21,Hammer
^IXIC,2024-12-20,Bullish Engulfing
^IXIC,2025-01-29,Hammer
^IXIC,2025-02-18,Hammer
^IXIC,2025-02-20,Hammer
^IXIC,2025-04-11,Bullish Engulfing
^IXIC,2025-04-29,Bullish Engulfing
^IXIC,2025-05-12,Hammer
^IXIC,2025-06-02,Bullish Engulfing
^IXIC,2025-06-27,Hammer
^IXIC,2025-07-02,Bullish Engulfing
^IXIC,2025-07-14,Hammer
^IXIC,2025-08-20,Hammer
^IXIC,2025-08-26,Bullish Engulfing
^IXIC,2025-09-09,Hammer
^IXIC,2025-09-17,Hammer
